Hugo_Symbol,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
SIRPA,4.0,10748.89,5928.17,15621.44,1318.13,4546.95,2501.53,11361.09,2205.73,8903.12,2337.28,1571.11,4010.72,3182.82,4310.6,3520.66,4923.89,9676.61,8114.75,7067.51,13187.58,12978.22,14569.51,5681.44,16699.48,9076.07
ZBP1,0.0,1299.0,181.0,160.0,99.0,418.0,728.0,645.0,258.0,170.0,134.0,40.0,102.0,121.0,497.0,63.0,30.0,70.0,65.0,73.0,84.0,118.0,168.0,209.0,64.0,67.0
TRIM40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0
CBLN3,0.0,905.81,349.57,386.94,102.82,241.42,304.79,1096.34,207.45,87.12,302.28,100.0,449.11,20.0,259.51,57.0,132.2,234.11,147.0,147.19,138.7,155.09,301.71,234.45,178.33,336.11
SPCS2,0.0,11318.55,7482.59,10045.53,1987.99,7536.06,4699.04,6758.24,1849.76,7169.01,11434.91,2286.37,5647.75,3498.88,5336.44,2817.91,5078.56,4835.28,3164.22,2995.94,4203.68,5747.89,5223.82,3243.89,5386.07,5706.27
CHCHD5,0.0,1610.0,1095.0,1396.0,160.0,1277.2,620.0,1062.19,225.0,624.32,2700.65,1292.61,753.0,289.0,1387.0,517.0,1045.2,994.0,634.0,579.0,712.86,1279.0,807.09,681.37,1589.0,997.0
KRT83,0.0,0.76,1.37,1.05,1.0,1.0,27.92,5.19,1.0,6.0,16.4,28.33,0.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
FUNDC1,0.0,1646.0,976.0,1186.0,564.0,1384.0,504.0,898.0,278.0,948.0,2602.0,329.0,714.0,590.0,1210.0,323.0,638.0,590.0,266.0,445.0,398.0,748.0,633.0,410.0,588.0,664.0
ASCC2,2.0,6994.0,3508.0,6840.0,1023.0,4603.0,6065.0,6016.0,1840.0,4219.0,4330.0,2412.0,2580.0,2109.0,7964.0,1061.0,1954.0,3886.0,2941.0,2875.0,4134.0,3247.0,4400.0,2772.0,3876.0,4308.0
NRF1,1.0,1594.0,891.0,1306.0,851.0,794.18,603.0,1222.0,541.0,902.0,1314.31,408.0,707.0,750.5,1222.0,348.0,668.0,1057.0,706.0,837.0,996.0,1052.0,1489.0,840.0,858.0,1580.0
M6PR,0.0,15125.76,11467.84,22314.19,6909.33,11034.87,4914.11,15010.37,4787.61,12129.69,9782.52,5090.57,8152.7,7311.69,18908.43,7706.67,8641.24,10604.73,6496.09,8018.57,13486.35,13684.03,12454.76,7137.34,15844.37,8837.54
SKIV2L2,1.0,6742.85,4496.95,5355.04,6128.58,2811.61,1581.81,5418.91,2390.87,5135.3,5753.99,1141.3,4190.55,4447.57,4994.56,1329.16,2171.54,3084.75,2217.47,2427.06,2850.6,3303.67,4113.67,2006.76,2935.46,3863.68
GPR112,0.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,2.0,13.0,3.0,1.0,17.0,10.0,3.0,5.0,10.0
C2orf72,0.0,66.0,129.0,119.0,99.0,60.0,144.0,146.0,56.0,195.0,20.0,439.0,94.0,98.0,735.0,38.0,53.0,36.0,76.0,70.0,28.0,122.0,180.0,39.0,48.0,110.0
IPMK,0.0,948.0,889.0,1734.0,1271.0,683.0,360.0,1409.0,824.0,1147.0,1019.64,502.0,678.0,1449.99,1443.0,568.0,602.0,798.0,525.0,391.0,843.99,1069.0,1067.0,351.0,1241.9,757.93
AZGP1,0.0,317.72,28066.5,2907.0,6859.9,638.92,2307.55,1639.9,451.0,8095.21,4921.86,115.0,13238.19,4362.93,46921.81,770.0,779.0,8685.64,4807.81,795.79,3292.73,2737.0,2122.0,1807.77,1600.0,3293.0
CLPSL1,0.0,9.0,1.0,0.0,5.0,1.0,2.0,3.0,2.0,0.0,6.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDX5,0.0,34293.0,17973.0,19853.0,4644.0,21300.0,9519.0,9228.0,2631.0,8645.0,42687.0,7513.0,9443.0,4795.0,8661.0,7348.0,14568.0,16521.0,10829.0,9447.0,10876.0,25543.0,14376.0,9754.0,23109.0,17465.0
OR10X1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHX9,0.0,12566.0,9070.0,14273.0,14776.0,5543.0,5199.0,19245.0,9156.0,12132.0,13035.0,4318.0,9200.0,10967.0,17352.0,2916.0,4621.0,9286.0,6811.0,6959.0,9295.0,6892.0,11730.0,6054.0,7232.0,10813.0
PPP1R17,0.0,7.0,1.0,7.0,3.0,6.0,6.0,0.0,0.0,5.0,11.0,0.0,1.0,5.0,1.0,2.0,12.0,2.0,8.0,10.0,1.0,12.0,5.0,9.0,5.0,29.0
COL7A1,0.0,1018.0,844.0,1143.0,2324.0,166.0,155.0,4314.0,2520.0,1951.0,577.0,55.0,3733.0,2078.0,279.0,8.0,31.0,133.0,78.0,146.0,145.0,79.0,256.0,50.0,123.0,129.0
UBE2F,0.0,5581.48,3285.1,4205.62,1665.09,1779.64,1393.18,5832.03,2034.08,4209.75,3812.86,1991.45,2067.88,2655.9,2671.74,1228.0,2030.37,1905.43,1228.56,1294.95,2178.25,2236.56,2062.32,1301.52,2729.67,1663.99
TGFBR1,5.0,5632.0,7010.0,6803.0,10686.0,4197.0,1922.0,7611.0,4157.0,4039.0,12241.0,1185.0,4969.0,5059.0,5166.0,1833.0,4695.0,4147.0,2386.0,3509.0,6068.0,5272.0,5732.0,1796.0,5082.0,4342.0
HIVEP2,1.0,5298.97,2770.0,4513.0,3119.41,1247.54,1475.65,4808.0,2460.0,2989.0,2903.0,493.29,2734.0,2812.0,2969.0,681.91,1084.0,2430.4,2034.0,2026.73,6569.31,1280.0,5845.0,1541.0,2062.0,2750.0
PSMC5,0.0,11926.15,6860.0,10200.11,1140.0,4038.0,3458.13,10763.04,3189.12,8351.98,11811.77,2847.02,4161.03,3818.81,8497.08,2319.0,3745.0,6261.72,4469.04,4035.0,5486.08,5626.0,5991.67,3730.06,5555.72,6662.67
