Gene_name,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
MTRNR2L1,0,7,0,1,7,0,3,0,1,1,0,0,0,12,0,0,1,1,0,0,0,0,2,2,0,1
TARM1,0,3,0,1,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0
NSUN3,0,830,494,995.4,1323.71,630,377,739.89,426,654,1044.72,165,553,657.47,787,312,367,461.84,322,358.76,380.95,513,692.03,320,611.51,671
CABP1,0,9,65,16,1,4,7,7,5,34,13,3,17,24,4,3,20,26,11,12,7,24,16,5,13,40
POTEI,0,8.46,0,0,2.04,2.08,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2,0,0,0
DHODH,0,814,564,904,401,309,288,668,238,614,976,221,657,451,763,239,298,590,412,301,439,563,531,391,465,614
WARS2,1,1542,1078,1520.18,710,1189,257,443,188,811.07,2177,782,690,555.62,1440.03,469,679,881,544,751.64,606,1027,1054,462,892,919
FOXJ1,0,2128,1250,1071,178,1967,1263,918,403,454,2786,1050,342,353,1896,343,361,1056,228,850,290,2684,4747,1206,6008,4107
CYP19A1,0,30,141,144,43,25,11,11,4,133,22,16,24,116,25,9,54,34,8,15,30,24,13,19,41,15
RBAK,0,1674.27,845.46,1646.39,1072.88,726.82,691,1322.17,720.95,977.59,856.46,358.06,746,1035,1136,319,305,844.36,412.96,701.81,841.3,668.1,1179.55,554.37,666.54,980.08
PFKFB4,0,2759,472,1105.32,485.3,447,312.7,956.33,403,5516.11,384.85,305,612.94,3780.03,555,232,305,406,523,408,716,695,650,279,768,543
ANGPTL4,0,7403,1690,3791,597,200,315,14966,4560,13027,597,1289,1805,7317,3905,110,1313,1113,1229,429,8908,469,1631,361,628,778
ZNF287,0,355,410,267,217,538,121,324,106,157,370,82,199,114,113,84,122,192,133,190,117,216,333,192,131,304
PREB,0,6159,4297,6175,1274,4423,2508,5312,1344,4739,6127,3845,2214,2241,7330,1498,2623,2830,2054,2073,3086,3149,2840,2411,3979,3068
USF2,0,9484,5429,10373,1076,5656,3775,5599,1295,12828,3683,5826,3641,5125,8834,3433,4948,7076,5380,4782,6251,9049,8071,5047,9697,7048
TBC1D3H,0,38.57,1.66,81.7,50.08,43.77,23.68,13.69,17.23,24.57,115.5,0.97,42.95,67.65,7.73,2.7,4,11.81,18.01,10.72,23.27,4.82,15.44,7.68,4.63,47.37
RP11-826N14.2,0,0,0,3,2.88,2,0,0,0,0,0,0,0,0,0,0,0.98,2,1,0,0,0,0,1,1,1.5
OR2T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
CHST10,0,338,1053,1177,508,874,784,576,224,160,1764,254,511,107,114,369,516,990,663,1098,644,568,1090,564,383,1334
REXO2,0,3459.88,4437.9,4894,2366.9,2946.93,1464,3314.94,1185.93,3176.95,7140.93,1165.88,3250.94,2073,3936,1027.93,2299.94,2774,1940,2002,1741,2206,2397.94,1260,2416.81,2513
SYDE1,0,2335,2985,1574,726,573,462,1405,502,742,504,368,1674,488,438,265,1836,1934,1482,1557,905,1322,2588,655,777,3278
C15orf60,0,0,0,1,4,3,0,0,1,3,23,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
ARMC5,0,1236.66,1049.84,1439.41,292.27,531.23,902.76,653.85,179.41,640.37,860.96,163.58,815.21,448.22,1077.69,307.98,611.85,1321.57,1110.11,739.13,1070.01,1174.28,1198.68,726.37,1106.28,1629.28
C10orf111,0,13.03,2,10,0,14,8,18,6.07,6,26.05,12,8,8,24,4,6,8.03,4,5,4,13,7,6,16,23
KRTAP16-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C10orf85,0,5,34,3,46,5,2,21,3,12,1,5,47,7,0,0,0,1,3,4,0,1,0,0,0,0
KRT76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,22,0,5,1
GIF,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
UGT1A10,0,0,87.57,0,0,0.62,0,0,1.32,20.49,25.24,5.54,0,19,0,0,0,0,0,11.82,0,20.91,0,6.37,28.06,1.2
FDXACB1,0,252.58,255,265.27,233,375.75,208.43,179,99,166.27,562.45,273.65,214.28,207.28,259.52,114.51,189.34,204.39,81.47,204.25,219.29,289.22,251.84,194,356.44,284.2
PLK4,0,1034,224,361,327,157,226,1162,540,1221,234,332,259,1053,1740,62,93,106,64,94,139,95,170,163,96,152
UGT1A7,0,0,0,0,2,8.41,9.18,0,4,0,7.02,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,1.05
GPR42,0,0,0,22.41,0,1,0,12.82,9.54,3.03,3.97,0,0,6.45,5.22,0,0,5.52,0,0,0,0,5.99,13.28,6.79,0
C14orf142,0,739,824,1105,948,1197,479,524,194,405,856,820,862,302,1172,605,791,488,322,372,431,1365,828,473,1934,740
MS4A18,0,0,1,89,0,2,8,0,0,0,3,2,0,0,0,29,3,1,2,0,1,2,2,1,3,0
ARHGAP35,0,4939,4289,11167,2797,2771,3211,3188,1371,5810,3910,820,2647,4280,2139,1453,1911,7468,6410,7012,5616,4711,8786,4318,3658,10355
WDR41,0,3866.32,2647.39,3218.13,4312.8,1816.45,841.73,3141,1232,2066.39,3605.04,697,3005.2,1779.06,1419.83,942,1649.53,1635.29,1191.91,1485.93,1495.05,1816,2386.83,1069.14,1983.83,2196.4
C22orf43,1,0,0,25,2,4,2,2,2,3,3,1,5,2,8.61,1,0,4,2,4.42,1,1,0,7,1,4
SCGN,0,2,51,0,0,1,0,1,0,0,0,1,0,0,1,1,4,13,1,3,1,16,34,18,4,29
KIAA0753,0,1446.98,407.32,1377,757.01,571,437.09,1127,491,1315.04,1533.45,349.52,767,993.13,1077.91,186,287,771,519,651,559.44,553.33,945,502,756,1034
GOLGA8I,0,307.99,98.05,279.31,423.15,455.36,98.43,121.98,65.47,124.23,248.15,111.34,267.75,92.92,81.38,42.99,67.38,149.65,111.65,133.55,110.33,109.3,163.02,63.6,207.8,134.72
GUCY2D,0,135,50,128,13,34,16,12,12,16,107,103,29,11,29,16,15,35,21,11,53,35,42,23,35,18
ITGA2B,0,52,48,122,23,82,60,87,37,20,20,58,26,8,71,50,304,43,97,21,100,148,261,49,169,76
C6orf25,0,38,16,15,0,20,24,3,3,5,25,0,22,2,2,10,107,74,113,36,39,92,123,50,96,117
AKAP8,0,2776,769,2889,1015.02,1161,1564,2570,985,1330,1555,516,1816,903,2291,537,604,1745,1174,1191,1704,1342,2111,1054,1735,2077
DGKD,0,2705.29,1406.63,6274.42,1624.27,1312.4,2381.65,3539.89,1600.7,2184.11,6067.21,929.64,1812.23,1627.35,1109.68,725.02,768.16,3364.74,2742.32,1891.71,5695.9,2138.62,3550.09,2847.62,2232.5,3147.74
LY6G6C,0,8,0,6,0,0,1,3,0,0,1,0,1,2,12,1,0,1,4,7,3,5,7,7,3,17
DPP7,0,13263,8189,11306,1101,5074,4067,4226,1425,5861,11387,3391,4249,4009,7234,3262,6897,8669.92,6136,5025,8356,11224,8554,5192,9678,8284
PAF1,0,5003,3303,5499,859,2232,2217,5114,1501,10580,3970,1970,2650,5444,3726,962,2207,4154,3466,3058,3895,3569,4435,2511,4290,4637
DCST2,0,62,13,81,17,34,20,36,12,39,109,17,64,15,50,2,7,12,11,10,6,11,13,12,10,15
TM4SF19,0,203.82,100.86,800.52,20.91,66.47,43,127.41,25.25,1224.25,9.46,179.16,63.38,513.14,125.94,869.97,352.78,39.68,26.09,114.84,137.28,164.65,157.84,47.79,547.58,8.42
