"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SH3GL3",70.172828240276,-4.73080584234822,0.548678535740014,-8.62218135791967,6.56905566057778e-18,1.31624684938296e-15
"FUT3",997.726925191416,2.26775021410592,0.26300188197486,8.62256268691908,6.5472100861394e-18,1.31624684938296e-15
"STXBP6",768.706010426127,-3.87878222749783,0.450731598048585,-8.60552542641958,7.5967957144191e-18,1.50526286639151e-15
"SEMA6A",811.415469785502,-2.60052994125856,0.30266121251694,-8.59221411172073,8.53092282901736e-18,1.67177963527326e-15
"MYEOV",166.875268688574,5.07090585331651,0.591418422028889,8.57414254348136,9.98277266352441e-18,1.93503027074599e-15
"EGLN3",2069.17474682178,3.54689259433321,0.414017237369967,8.56701671859062,1.06200478067041e-17,2.03642271545113e-15
"SPN",2267.86593636541,-2.60194948509113,0.304534404636563,-8.54402473243159,1.2962628100645e-17,2.44224997331974e-15
"CASKIN2",2460.08427161479,-2.39033024123498,0.279780207869602,-8.54360020473303,1.30103598645979e-17,2.44224997331974e-15
"OCIAD2",3395.97680727428,2.34609610714576,0.275114519212722,8.52770734841414,1.49276603306342e-17,2.77296840287707e-15
"PDIA4",16535.2482324255,1.71371489706162,0.20104291862488,8.52412464355032,1.53969756857851e-17,2.83066255056294e-15
"KAL1",4018.06058241555,-2.48681467277045,0.292551351211264,-8.50043817085161,1.88876386215597e-17,3.43697203610483e-15
"DPEP2",561.972639356528,-2.36003218927518,0.277916042671819,-8.49188901290616,2.0330512272547e-17,3.6255402535633e-15
"PNPLA6",5961.27212819125,-1.87211581494719,0.220440480804273,-8.49261355317687,2.02041240861801e-17,3.6255402535633e-15
"XAGE1D",924.035284060378,5.40896774351994,0.637437614779344,8.48548566653432,2.14819608548387e-17,3.79294859331029e-15
"TMEM100",2755.31950431591,-4.72729535632592,0.55987046214281,-8.44355199278239,3.07837349824341e-17,5.38202299942889e-15
"FAM107A",4754.69211145844,-4.76494021152679,0.564413719158088,-8.44228276136598,3.1119942860751e-17,5.38798001005604e-15
"SH2D3C",1750.3832365572,-2.52980617927088,0.299807436903982,-8.43810348867728,3.22528005820072e-17,5.53042493056668e-15
"KANK3",613.569908804065,-3.32069291166195,0.393964005331002,-8.42892463963034,3.48856147061381e-17,5.76032562087557e-15
"BEAN1",400.545856497746,4.11098541059127,0.487640283051745,8.43036466319794,3.44589700926336e-17,5.76032562087557e-15
"NEK2",500.97373342295,4.03822707838114,0.479052597238006,8.42961107332196,3.46815947627071e-17,5.76032562087557e-15
"C15orf48",4657.74624251662,4.54831968617722,0.539564302832107,8.42961564044109,3.46802412855031e-17,5.76032562087557e-15
"DAPK2",1212.64425057667,-2.50988080255916,0.298483838977137,-8.40876615350493,4.14346275446816e-17,6.77893314682851e-15
"ARC",312.779877881577,-4.51561626155409,0.538096467858149,-8.39183405073843,4.7861618007484e-17,7.75923849024966e-15
"ERCC6L",135.029265073526,3.57923087946284,0.427100899907618,8.38029346282582,5.27959004762814e-17,8.48206570444619e-15
"GIMAP8",1717.45517805225,-2.1029944378912,0.251306302981946,-8.36825186212013,5.8479295235455e-17,9.31126135655239e-15
"EPHX3",563.573586951462,2.45670868407661,0.293946519210519,8.35767230948961,6.39678350190022e-17,1.00950301052554e-14
"ETV4",596.594881837376,2.67145251959087,0.319894046439642,8.35105419848734,6.76563645628163e-17,1.05834732390237e-14
"HNF4G",167.520685354336,3.82950336837937,0.45897950661464,8.3435171139234,7.21130001373178e-17,1.11825315778155e-14
"TMPRSS11E",511.872041714673,7.33298541743807,0.879451576395393,8.33813437175673,7.54717832026067e-17,1.16024854297593e-14
"FRMD3",279.828910632974,-2.45197486790941,0.294237841491058,-8.33330905190157,7.86135970040346e-17,1.1982190387803e-14
"SPAG4",382.039487305667,2.91840041772701,0.351310185932614,8.30718986977166,9.79950784113418e-17,1.48097138416056e-14
"IL31RA",91.8575173413407,4.93803321691197,0.594526872772308,8.30582004457709,9.91323831438089e-17,1.48556957025508e-14
"PTPN21",1556.51723379506,-2.24544779203699,0.270427193506849,-8.3033357811337,1.01228259090108e-16,1.50433628696159e-14
"TMEM171",89.0224231227684,4.20215184986247,0.507076708286046,8.28701413651207,1.16126839250015e-16,1.69745075766026e-14
"BCL2L15",295.822856923079,3.70270033220189,0.446774803663541,8.28762119492828,1.15535852227168e-16,1.69745075766026e-14
"FRMD5",210.570194798114,4.02252854828052,0.48616044136438,8.27407622263863,1.29455332225552e-16,1.87689182079534e-14
"SFXN1",1589.06981967146,1.65835061023202,0.200550126149503,8.26900806332965,1.35078134590231e-16,1.94261965657064e-14
"CYP1A2",22.7076532145447,-5.87499375200564,0.710934158765153,-8.26376631305792,1.41146801839259e-16,2.0136567337596e-14
"CCM2L",381.595759684501,-2.88202306261776,0.349056919897008,-8.25659913422751,1.49881747560189e-16,2.12130254304829e-14
"CA4",688.670835881171,-5.22894650792277,0.633938467401614,-8.24835023713763,1.60596114770956e-16,2.25504764937831e-14
"ANKRD22",734.225211041227,3.31268510485698,0.40180029146062,8.24460602757341,1.65705269205653e-16,2.30861098886283e-14
"PHKA1",608.519144271326,1.60735928308502,0.195031191129517,8.24154984531474,1.69994085071423e-16,2.35000350316177e-14
"FGL1",441.869731183313,6.12775962032757,0.745340617364007,8.22142182724347,2.01104570646837e-16,2.75869062180387e-14
"CES1",9422.22745497197,-3.28226798943588,0.39931752739219,-8.21969426403916,2.04022627383659e-16,2.77735535429985e-14
"ARHGAP6",398.556062244871,-2.32777163404717,0.283386245985241,-8.21413059746168,2.13706900416075e-16,2.88714784478778e-14
"TRPV2",3141.74276033459,-1.93690688086987,0.235843627788918,-8.21267421566046,2.16315873035011e-16,2.9004217773183e-14
"LPL",4807.37307961918,-2.99231117057547,0.365883832177962,-8.17830936328458,2.87853958417063e-16,3.83082062720261e-14
"PSAT1",736.48431301059,3.11721703240042,0.381367244471357,8.17379331232663,2.98841600437926e-16,3.94758685971077e-14
"LTBP4",10008.1997341264,-2.73375888064992,0.335118959159143,-8.15757749877619,3.41810748253031e-16,4.48199343646787e-14
"RAB3B",198.447486243436,4.74974048136933,0.582351602417732,8.1561387684862,3.4590500160853e-16,4.4881550533516e-14
"IL23A",265.030344433837,4.82600804309864,0.591738187461611,8.15564745584673,3.47314191309663e-16,4.4881550533516e-14
"RAMP2",1935.24531321363,-3.21915682672706,0.394758475637017,-8.1547503737123,3.49901827299308e-16,4.4890642346968e-14
"DEPDC1",415.523519893522,3.86348545586559,0.47419355679406,8.14748619105233,3.7156730449926e-16,4.73297124366808e-14
"B4GALNT4",122.881335446426,3.93933811367132,0.484205309035845,8.13567724301779,4.09641831423763e-16,5.18095232608509e-14
"C6orf222",78.4767423013714,5.99967003279027,0.738323176319724,8.12607571483326,4.43412115584363e-16,5.56856919522249e-14
"STEAP2",2561.83445031804,3.00170684768029,0.369655925219343,8.12027250990002,4.65138072990711e-16,5.79328881242885e-14
"FUT8",2454.85279401202,1.70876307719604,0.210449711747095,8.11957908143645,4.67803279868645e-16,5.79328881242885e-14
"PTPRB",4660.11514441218,-2.80946484588421,0.346837778983339,-8.10022729968861,5.48565969844635e-16,6.74660478637199e-14
"IQGAP3",1823.53829141497,4.55935674466308,0.563687589760797,8.08844620226225,6.04306678862358e-16,7.38123356448797e-14
"PCSK9",566.110179012372,-3.79592882115584,0.47193383840863,-8.04334953805344,8.74155224500375e-16,1.06046327336838e-13
"XKRX",345.715108114028,3.06950932129968,0.381919829486739,8.03705145507836,9.2026032175291e-16,1.10885150796079e-13
"CNTN6",245.157966674177,-4.25212682468969,0.529697470746677,-8.02746295672466,9.95090011818989e-16,1.19096913964886e-13
"SSFA2",6115.06571610406,-1.11597376684405,0.139360807347085,-8.00780210798194,1.1677661191214e-15,1.38831821348613e-13
"STIL",437.871221235011,2.92380127450829,0.365237209300444,8.00521195556275,1.19261075776027e-15,1.40846540683039e-13
"MYO7B",78.4655473783381,-2.71664415826865,0.339397841033876,-8.0043059495994,1.20142346658457e-15,1.40953846576333e-13
"XRCC2",198.72712031245,3.50827034765113,0.438380610414155,8.00279543462638,1.2162590685576e-15,1.41761751435214e-13
"CD300LG",228.355640747956,-5.54989179915354,0.69359377176388,-8.0016459563061,1.22766950812721e-15,1.42162534665146e-13
"APCDD1L",89.5057333662426,5.20016967531572,0.651306377232439,7.98421427625586,1.41420181192866e-15,1.62706199433056e-13
"PXDC1",1972.03158094249,-1.65814680293026,0.207708909985405,-7.98303165255054,1.42782272488091e-15,1.63220273415393e-13
"PRKCE",1295.90510737151,-1.90764919887697,0.239010234474281,-7.98145402883257,1.44619441503602e-15,1.64267420403422e-13
"CLEC3B",3578.64747200594,-3.84691824550309,0.482065396011159,-7.98007547800433,1.4624383532259e-15,1.65061159196693e-13
"KIF14",358.765303141847,4.01431592851559,0.503107344908618,7.97904456999079,1.4747032187042e-15,1.65398632070138e-13
"GPM6A",907.237767658699,-4.18061140790637,0.524165917557469,-7.97574063454443,1.51469730035179e-15,1.68822480982334e-13
"CDC25C",141.994849800671,3.64964146281167,0.458938191178069,7.95235945268193,1.82992382831378e-15,2.02689637455402e-13
"ST8SIA6",90.58269716443,-3.62829484008805,0.456863851879188,-7.94174199854952,1.99361288297617e-15,2.19457398408111e-13
"ARRB1",2923.76690206703,-1.63606799905856,0.206089408130937,-7.93863213979001,2.04423061794751e-15,2.23648862637166e-13
"UBE2T",478.735040640741,2.87673029810553,0.362530859239078,7.93513220955466,2.10271211367393e-15,2.28644299531385e-13
"RHBDL1",109.194035016239,3.01296861308832,0.380154864573277,7.92563477116195,2.2698382121321e-15,2.45321362648192e-13
"PPAPDC1A",98.7000926316636,4.86693130527785,0.615301775634457,7.90982814938151,2.57744441019537e-15,2.76888952813338e-13
"XAGE1A",643.066503276216,4.96830017817115,0.628863224456985,7.9004463688606,2.77906397268642e-15,2.96760765418665e-13
"LIN7A",413.83161983613,-2.26869839747361,0.287287454482229,-7.89696299673936,2.85781167270763e-15,3.03353306901162e-13
"STYK1",232.691277207668,2.74655694557717,0.348103355178885,7.8900616863223,3.02037204753683e-15,3.18711803098961e-13
"CALCRL",3949.26848302374,-2.38070564201897,0.302044831514241,-7.88196119789164,3.22282113998444e-15,3.38073937584368e-13
"XAGE1E",643.031669643124,4.97149210866653,0.631010528844906,7.87861989841449,3.31016770388801e-15,3.45205968792017e-13
"FGD5",2173.2873598825,-2.08661946773642,0.264904649023143,-7.87686994332109,3.35683998521158e-15,3.48026507867365e-13
"IQSEC3",213.503832872204,-2.99011603832914,0.379676599703527,-7.87542882722819,3.39576136202105e-15,3.48026507867365e-13
"OTUD1",1384.93385514462,-1.92672259108805,0.244643163624445,-7.87564452054661,3.38990781089411e-15,3.48026507867365e-13
"GREB1L",122.111101812639,4.18814889239388,0.531903298341606,7.87389156159005,3.43776934787548e-15,3.50318518746649e-13
"C19orf59",4072.16280066925,-3.76194496291298,0.477998631218668,-7.87020028346487,3.54073947582959e-15,3.58761403820848e-13
